orcasound_filename,date_time_pstpdt,date_pstpdt,time_pstpdt,date_time_utc,date_utc,time_utc,duration,notes,aws_bucket,latitude,longitude
cand_02y1wSdZd4yNIviSP6KnPv,2024-10-21_16.45.52,2024-10-21,16.45.52,2024-10-21_23.45.52,2024-10-21,23.45.52,,"Possibly clicks, definitely calls",1729407621.0,47.87315,-122.42455
cand_02y1yjTsIQdGRYKez6kSEp,2024-10-21_18.18.21,2024-10-21,18.18.21,2024-10-22_01.18.21,2024-10-22,01.18.21,,Sounds like clicks- echo location ?,1729407621.0,47.87883,-122.39735
cand_02y1z6intJAjLvmqtCXZsv,2024-10-21_18.25.03,2024-10-21,18.25.03,2024-10-22_01.25.03,2024-10-22,01.25.03,,"Repeated S01 calls, S01 call thru ferry noise",1729407621.0,47.87883,-122.39735
cand_02y1z1yqKE41Sp0UY33Wsg,2024-10-21_18.30.11,2024-10-21,18.30.11,2024-10-22_01.30.11,2024-10-22,01.30.11,,"S10 excitement call, S01 calls many through AM radio interference, 6:31 PM orca calls",1729407621.0,47.87883,-122.39735
cand_02y1zNeT4QvXx7KGp5od2O,2024-10-21_18.44.52,2024-10-21,18.44.52,2024-10-22_01.44.52,2024-10-22,01.44.52,,"S01s, Faint calls, S04s?",1729407621.0,47.87883,-122.39735
cand_02y1yjTsIQdGRYKez6kSEp,2024-10-21_18.18.21,2024-10-21,18.18.21,2024-10-22_01.18.21,2024-10-22,01.18.21,,Sounds like clicks- echo location ?,1729407621.0,47.88931,-122.39158
cand_02y1z6intJAjLvmqtCXZsv,2024-10-21_18.25.03,2024-10-21,18.25.03,2024-10-22_01.25.03,2024-10-22,01.25.03,,"Repeated S01 calls, S01 call thru ferry noise",1729407621.0,47.88931,-122.39158
cand_02y1z1yqKE41Sp0UY33Wsg,2024-10-21_18.30.11,2024-10-21,18.30.11,2024-10-22_01.30.11,2024-10-22,01.30.11,,"S10 excitement call, S01 calls many through AM radio interference, 6:31 PM orca calls",1729407621.0,47.88931,-122.39158
cand_02y1zNeT4QvXx7KGp5od2O,2024-10-21_18.44.52,2024-10-21,18.44.52,2024-10-22_01.44.52,2024-10-22,01.44.52,,"S01s, Faint calls, S04s?",1729407621.0,47.88931,-122.39158
cand_02y1zv6leLPsRUpnQoAAto,2024-10-21_19.07.05,2024-10-21,19.07.05,2024-10-22_02.07.05,2024-10-22,02.07.05,,"Faint squeals of whales, S01 and a few S04 calls, Calls faintly. They sound distant",1729407621.0,47.88931,-122.39158
cand_02y208ApXqORSq04WTcu8T,2024-10-21_19.15.28,2024-10-21,19.15.28,2024-10-22_02.15.28,2024-10-22,02.15.28,,"Faint S04, Very faint calls",1729407621.0,47.88931,-122.39158
cand_02y20Ij8BN1jSUShwOQ08j,2024-10-21_19.22.22,2024-10-21,19.22.22,2024-10-22_02.22.22,2024-10-22,02.22.22,,"S01, Echolocation?, S07 faint",1729534520.0,47.88931,-122.39158
cand_02y2LW1ZYhdXWY02TGODUu,2024-10-22_09.46.07,2024-10-22,09.46.07,2024-10-22_16.46.07,2024-10-22,16.46.07,,"I think I heard a Echolocation At Sunset Bay, I am not sure though.",1729534520.0,47.73349,-122.43458
cand_02y2LW1ZYhdXWY02TGODUu,2024-10-22_09.46.07,2024-10-22,09.46.07,2024-10-22_16.46.07,2024-10-22,16.46.07,,"I think I heard a Echolocation At Sunset Bay, I am not sure though.",1729534520.0,47.69953,-122.46754
cand_02y2LW1ZYhdXWY02TGODUu,2024-10-22_09.46.07,2024-10-22,09.46.07,2024-10-22_16.46.07,2024-10-22,16.46.07,,"I think I heard a Echolocation At Sunset Bay, I am not sure though.",1729534520.0,47.68127,-122.46548
cand_02y2LW1ZYhdXWY02TGODUu,2024-10-22_09.46.07,2024-10-22,09.46.07,2024-10-22_16.46.07,2024-10-22,16.46.07,,"I think I heard a Echolocation At Sunset Bay, I am not sure though.",1729534520.0,47.66856,-122.4696
cand_02y2R6bvpuaTrj9ayJIYkU,2024-10-22_13.33.46,2024-10-22,13.33.46,2024-10-22_20.33.46,2024-10-22,20.33.46,,,1729534520.0,47.77185,-122.4398
cand_02y2R6bvpuaTrj9ayJIYkU,2024-10-22_13.33.46,2024-10-22,13.33.46,2024-10-22_20.33.46,2024-10-22,20.33.46,,,1729534520.0,47.80606,-122.42214
cand_02y2RRcx9Z4mk5OQ91wRe0,2024-10-22_13.47.38,2024-10-22,13.47.38,2024-10-22_20.47.38,2024-10-22,20.47.38,,Call,1729534520.0,47.80606,-122.42214
cand_02y2RVMK8VbmrAAZQdyCIA,2024-10-22_13.50.57,2024-10-22,13.50.57,2024-10-22_20.50.57,2024-10-22,20.50.57,,,1729534520.0,47.80606,-122.42214
cand_02y2R6bvpuaTrj9ayJIYkU,2024-10-22_13.33.46,2024-10-22,13.33.46,2024-10-22_20.33.46,2024-10-22,20.33.46,,,1729534520.0,47.82012,-122.42403
cand_02y2RRcx9Z4mk5OQ91wRe0,2024-10-22_13.47.38,2024-10-22,13.47.38,2024-10-22_20.47.38,2024-10-22,20.47.38,,Call,1729534520.0,47.82012,-122.42403
cand_02y2RVMK8VbmrAAZQdyCIA,2024-10-22_13.50.57,2024-10-22,13.50.57,2024-10-22_20.50.57,2024-10-22,20.50.57,,,1729534520.0,47.82012,-122.42403
cand_02y2RnXTcofPIQjKuQjvE3,2024-10-22_14.03.01,2024-10-22,14.03.01,2024-10-22_21.03.01,2024-10-22,21.03.01,,"call, S01 calls through radio interference",1729534520.0,47.82012,-122.42403
cand_02y2R6bvpuaTrj9ayJIYkU,2024-10-22_13.33.46,2024-10-22,13.33.46,2024-10-22_20.33.46,2024-10-22,20.33.46,,,1729534520.0,47.83472,-122.44025
cand_02y2RRcx9Z4mk5OQ91wRe0,2024-10-22_13.47.38,2024-10-22,13.47.38,2024-10-22_20.47.38,2024-10-22,20.47.38,,Call,1729534520.0,47.83472,-122.44025
cand_02y2RVMK8VbmrAAZQdyCIA,2024-10-22_13.50.57,2024-10-22,13.50.57,2024-10-22_20.50.57,2024-10-22,20.50.57,,,1729534520.0,47.83472,-122.44025
cand_02y2RnXTcofPIQjKuQjvE3,2024-10-22_14.03.01,2024-10-22,14.03.01,2024-10-22_21.03.01,2024-10-22,21.03.01,,"call, S01 calls through radio interference",1729534520.0,47.83472,-122.44025
cand_02y2SGeUCJ2xWSg4iXmQvX,2024-10-22_14.22.04,2024-10-22,14.22.04,2024-10-22_21.22.04,2024-10-22,21.22.04,,Clear S01 call after long period with no SRKW signals.,1729534520.0,47.83472,-122.44025
cand_02y2SZgox0K7QgZxboENvq,2024-10-22_14.34.39,2024-10-22,14.34.39,2024-10-22_21.34.39,2024-10-22,21.34.39,,"lots of calls, buzzing and calls, clear up and down sweeps, some rubbing on hydrophone also",1729534520.0,47.83472,-122.44025
cand_02y2SlLwCW3aRKRqPVBj7U,2024-10-22_14.42.18,2024-10-22,14.42.18,2024-10-22_21.42.18,2024-10-22,21.42.18,,"orca, distant call in radio noise",1729580422.0,47.83472,-122.44025
cand_02y2R6bvpuaTrj9ayJIYkU,2024-10-22_13.33.46,2024-10-22,13.33.46,2024-10-22_20.33.46,2024-10-22,20.33.46,,,1729534520.0,47.86605,-122.4169
cand_02y2RRcx9Z4mk5OQ91wRe0,2024-10-22_13.47.38,2024-10-22,13.47.38,2024-10-22_20.47.38,2024-10-22,20.47.38,,Call,1729534520.0,47.86605,-122.4169
cand_02y2RVMK8VbmrAAZQdyCIA,2024-10-22_13.50.57,2024-10-22,13.50.57,2024-10-22_20.50.57,2024-10-22,20.50.57,,,1729534520.0,47.86605,-122.4169
cand_02y2RnXTcofPIQjKuQjvE3,2024-10-22_14.03.01,2024-10-22,14.03.01,2024-10-22_21.03.01,2024-10-22,21.03.01,,"call, S01 calls through radio interference",1729534520.0,47.86605,-122.4169
cand_02y2SGeUCJ2xWSg4iXmQvX,2024-10-22_14.22.04,2024-10-22,14.22.04,2024-10-22_21.22.04,2024-10-22,21.22.04,,Clear S01 call after long period with no SRKW signals.,1729534520.0,47.86605,-122.4169
cand_02y2SZgox0K7QgZxboENvq,2024-10-22_14.34.39,2024-10-22,14.34.39,2024-10-22_21.34.39,2024-10-22,21.34.39,,"lots of calls, buzzing and calls, clear up and down sweeps, some rubbing on hydrophone also",1729534520.0,47.86605,-122.4169
cand_02y2SlLwCW3aRKRqPVBj7U,2024-10-22_14.42.18,2024-10-22,14.42.18,2024-10-22_21.42.18,2024-10-22,21.42.18,,"orca, distant call in radio noise",1729580422.0,47.86605,-122.4169
cand_02y2T5WYzp8gSV6GFR6eK5,2024-10-22_14.55.22,2024-10-22,14.55.22,2024-10-22_21.55.22,2024-10-22,21.55.22,,Eee ohh,1729580422.0,47.86605,-122.4169
cand_02y2R6bvpuaTrj9ayJIYkU,2024-10-22_13.33.46,2024-10-22,13.33.46,2024-10-22_20.33.46,2024-10-22,20.33.46,,,1729534520.0,47.87642,-122.39253
cand_02y2RRcx9Z4mk5OQ91wRe0,2024-10-22_13.47.38,2024-10-22,13.47.38,2024-10-22_20.47.38,2024-10-22,20.47.38,,Call,1729534520.0,47.87642,-122.39253
cand_02y2RVMK8VbmrAAZQdyCIA,2024-10-22_13.50.57,2024-10-22,13.50.57,2024-10-22_20.50.57,2024-10-22,20.50.57,,,1729534520.0,47.87642,-122.39253
cand_02y2RnXTcofPIQjKuQjvE3,2024-10-22_14.03.01,2024-10-22,14.03.01,2024-10-22_21.03.01,2024-10-22,21.03.01,,"call, S01 calls through radio interference",1729534520.0,47.87642,-122.39253
cand_02y2SGeUCJ2xWSg4iXmQvX,2024-10-22_14.22.04,2024-10-22,14.22.04,2024-10-22_21.22.04,2024-10-22,21.22.04,,Clear S01 call after long period with no SRKW signals.,1729534520.0,47.87642,-122.39253
cand_02y2SZgox0K7QgZxboENvq,2024-10-22_14.34.39,2024-10-22,14.34.39,2024-10-22_21.34.39,2024-10-22,21.34.39,,"lots of calls, buzzing and calls, clear up and down sweeps, some rubbing on hydrophone also",1729534520.0,47.87642,-122.39253
cand_02y2SlLwCW3aRKRqPVBj7U,2024-10-22_14.42.18,2024-10-22,14.42.18,2024-10-22_21.42.18,2024-10-22,21.42.18,,"orca, distant call in radio noise",1729580422.0,47.87642,-122.39253
cand_02y2T5WYzp8gSV6GFR6eK5,2024-10-22_14.55.22,2024-10-22,14.55.22,2024-10-22_21.55.22,2024-10-22,21.55.22,,Eee ohh,1729580422.0,47.87642,-122.39253
cand_02y2RRcx9Z4mk5OQ91wRe0,2024-10-22_13.47.38,2024-10-22,13.47.38,2024-10-22_20.47.38,2024-10-22,20.47.38,,Call,1729534520.0,47.87642,-122.39253
cand_02y2RVMK8VbmrAAZQdyCIA,2024-10-22_13.50.57,2024-10-22,13.50.57,2024-10-22_20.50.57,2024-10-22,20.50.57,,,1729534520.0,47.87642,-122.39253
cand_02y2RnXTcofPIQjKuQjvE3,2024-10-22_14.03.01,2024-10-22,14.03.01,2024-10-22_21.03.01,2024-10-22,21.03.01,,"call, S01 calls through radio interference",1729534520.0,47.87642,-122.39253
cand_02y2SGeUCJ2xWSg4iXmQvX,2024-10-22_14.22.04,2024-10-22,14.22.04,2024-10-22_21.22.04,2024-10-22,21.22.04,,Clear S01 call after long period with no SRKW signals.,1729534520.0,47.87642,-122.39253
cand_02y2SZgox0K7QgZxboENvq,2024-10-22_14.34.39,2024-10-22,14.34.39,2024-10-22_21.34.39,2024-10-22,21.34.39,,"lots of calls, buzzing and calls, clear up and down sweeps, some rubbing on hydrophone also",1729534520.0,47.87642,-122.39253
cand_02y2SlLwCW3aRKRqPVBj7U,2024-10-22_14.42.18,2024-10-22,14.42.18,2024-10-22_21.42.18,2024-10-22,21.42.18,,"orca, distant call in radio noise",1729580422.0,47.87642,-122.39253
cand_02y2T5WYzp8gSV6GFR6eK5,2024-10-22_14.55.22,2024-10-22,14.55.22,2024-10-22_21.55.22,2024-10-22,21.55.22,,Eee ohh,1729580422.0,47.87642,-122.39253
cand_02y2RnXTcofPIQjKuQjvE3,2024-10-22_14.03.01,2024-10-22,14.03.01,2024-10-22_21.03.01,2024-10-22,21.03.01,,"call, S01 calls through radio interference",1729534520.0,47.8679,-122.42755
cand_02y2SGeUCJ2xWSg4iXmQvX,2024-10-22_14.22.04,2024-10-22,14.22.04,2024-10-22_21.22.04,2024-10-22,21.22.04,,Clear S01 call after long period with no SRKW signals.,1729534520.0,47.8679,-122.42755
cand_02y2SZgox0K7QgZxboENvq,2024-10-22_14.34.39,2024-10-22,14.34.39,2024-10-22_21.34.39,2024-10-22,21.34.39,,"lots of calls, buzzing and calls, clear up and down sweeps, some rubbing on hydrophone also",1729534520.0,47.8679,-122.42755
cand_02y2SlLwCW3aRKRqPVBj7U,2024-10-22_14.42.18,2024-10-22,14.42.18,2024-10-22_21.42.18,2024-10-22,21.42.18,,"orca, distant call in radio noise",1729580422.0,47.8679,-122.42755
cand_02y2T5WYzp8gSV6GFR6eK5,2024-10-22_14.55.22,2024-10-22,14.55.22,2024-10-22_21.55.22,2024-10-22,21.55.22,,Eee ohh,1729580422.0,47.8679,-122.42755
cand_02y2UImx57yGJKGNgxwUpq,2024-10-22_15.43.23,2024-10-22,15.43.23,2024-10-22_22.43.23,2024-10-22,22.43.23,,"More calls now. Sounds like multiple orca., Faint calls., Possible echolocation. Lots of clicking.",1729580422.0,47.8679,-122.42755
cand_02y2SZgox0K7QgZxboENvq,2024-10-22_14.34.39,2024-10-22,14.34.39,2024-10-22_21.34.39,2024-10-22,21.34.39,,"lots of calls, buzzing and calls, clear up and down sweeps, some rubbing on hydrophone also",1729534520.0,47.87642,-122.39253
cand_02y2SlLwCW3aRKRqPVBj7U,2024-10-22_14.42.18,2024-10-22,14.42.18,2024-10-22_21.42.18,2024-10-22,21.42.18,,"orca, distant call in radio noise",1729580422.0,47.87642,-122.39253
cand_02y2T5WYzp8gSV6GFR6eK5,2024-10-22_14.55.22,2024-10-22,14.55.22,2024-10-22_21.55.22,2024-10-22,21.55.22,,Eee ohh,1729580422.0,47.87642,-122.39253
cand_02y2UImx57yGJKGNgxwUpq,2024-10-22_15.43.23,2024-10-22,15.43.23,2024-10-22_22.43.23,2024-10-22,22.43.23,,"More calls now. Sounds like multiple orca., Faint calls., Possible echolocation. Lots of clicking.",1729580422.0,47.87642,-122.39253
cand_02y2V71GnZUQOzybrObWmF,2024-10-22_16.17.57,2024-10-22,16.17.57,2024-10-22_23.17.57,2024-10-22,23.17.57,,Calls,1729580422.0,47.87642,-122.39253
cand_02y2VBrEdt5a3PC7OgXo5h,2024-10-22_16.21.12,2024-10-22,16.21.12,2024-10-22_23.21.12,2024-10-22,23.21.12,,Faint calls,1729580422.0,47.87642,-122.39253
cand_02y2SlLwCW3aRKRqPVBj7U,2024-10-22_14.42.18,2024-10-22,14.42.18,2024-10-22_21.42.18,2024-10-22,21.42.18,,"orca, distant call in radio noise",1729580422.0,47.88632,-122.38137
cand_02y2T5WYzp8gSV6GFR6eK5,2024-10-22_14.55.22,2024-10-22,14.55.22,2024-10-22_21.55.22,2024-10-22,21.55.22,,Eee ohh,1729580422.0,47.88632,-122.38137
cand_02y2UImx57yGJKGNgxwUpq,2024-10-22_15.43.23,2024-10-22,15.43.23,2024-10-22_22.43.23,2024-10-22,22.43.23,,"More calls now. Sounds like multiple orca., Faint calls., Possible echolocation. Lots of clicking.",1729580422.0,47.88632,-122.38137
cand_02y2V71GnZUQOzybrObWmF,2024-10-22_16.17.57,2024-10-22,16.17.57,2024-10-22_23.17.57,2024-10-22,23.17.57,,Calls,1729580422.0,47.88632,-122.38137
cand_02y2VBrEdt5a3PC7OgXo5h,2024-10-22_16.21.12,2024-10-22,16.21.12,2024-10-22_23.21.12,2024-10-22,23.21.12,,Faint calls,1729580422.0,47.88632,-122.38137
cand_02y2VKx9jd2sJtBtRXv6iC,2024-10-22_16.27.03,2024-10-22,16.27.03,2024-10-22_23.27.03,2024-10-22,23.27.03,,Calls thru tanker noise.,1729580422.0,47.88632,-122.38137
cand_02y2VQWRjHYslRlODd7vxX,2024-10-22_16.30.56,2024-10-22,16.30.56,2024-10-22_23.30.56,2024-10-22,23.30.56,,"Lots of faint calls thru ship noise, including possibly many whistles in last 10min",1729580422.0,47.88632,-122.38137
cand_02y2T5WYzp8gSV6GFR6eK5,2024-10-22_14.55.22,2024-10-22,14.55.22,2024-10-22_21.55.22,2024-10-22,21.55.22,,Eee ohh,1729580422.0,47.88448,-122.38721
cand_02y2UImx57yGJKGNgxwUpq,2024-10-22_15.43.23,2024-10-22,15.43.23,2024-10-22_22.43.23,2024-10-22,22.43.23,,"More calls now. Sounds like multiple orca., Faint calls., Possible echolocation. Lots of clicking.",1729580422.0,47.88448,-122.38721
cand_02y2V71GnZUQOzybrObWmF,2024-10-22_16.17.57,2024-10-22,16.17.57,2024-10-22_23.17.57,2024-10-22,23.17.57,,Calls,1729580422.0,47.88448,-122.38721
cand_02y2VBrEdt5a3PC7OgXo5h,2024-10-22_16.21.12,2024-10-22,16.21.12,2024-10-22_23.21.12,2024-10-22,23.21.12,,Faint calls,1729580422.0,47.88448,-122.38721
cand_02y2VKx9jd2sJtBtRXv6iC,2024-10-22_16.27.03,2024-10-22,16.27.03,2024-10-22_23.27.03,2024-10-22,23.27.03,,Calls thru tanker noise.,1729580422.0,47.88448,-122.38721
cand_02y2VQWRjHYslRlODd7vxX,2024-10-22_16.30.56,2024-10-22,16.30.56,2024-10-22_23.30.56,2024-10-22,23.30.56,,"Lots of faint calls thru ship noise, including possibly many whistles in last 10min",1729580422.0,47.88448,-122.38721
cand_02y2VsyXfyWozi1g5b2Yf2,2024-10-22_16.49.24,2024-10-22,16.49.24,2024-10-22_23.49.24,2024-10-22,23.49.24,,Squeaks,1729580422.0,47.88448,-122.38721
cand_02y2VyVHewGf5xvTd1PsM1,2024-10-22_16.52.57,2024-10-22,16.52.57,2024-10-22_23.52.57,2024-10-22,23.52.57,,"Two calls thru last of noise from NB tanker Marissa (still audible as it clears Pt No Pt)., Sqeak",1729580422.0,47.88448,-122.38721
cand_02y2UImx57yGJKGNgxwUpq,2024-10-22_15.43.23,2024-10-22,15.43.23,2024-10-22_22.43.23,2024-10-22,22.43.23,,"More calls now. Sounds like multiple orca., Faint calls., Possible echolocation. Lots of clicking.",1729580422.0,47.8953,-122.3754
cand_02y2V71GnZUQOzybrObWmF,2024-10-22_16.17.57,2024-10-22,16.17.57,2024-10-22_23.17.57,2024-10-22,23.17.57,,Calls,1729580422.0,47.8953,-122.3754
cand_02y2VBrEdt5a3PC7OgXo5h,2024-10-22_16.21.12,2024-10-22,16.21.12,2024-10-22_23.21.12,2024-10-22,23.21.12,,Faint calls,1729580422.0,47.8953,-122.3754
cand_02y2VKx9jd2sJtBtRXv6iC,2024-10-22_16.27.03,2024-10-22,16.27.03,2024-10-22_23.27.03,2024-10-22,23.27.03,,Calls thru tanker noise.,1729580422.0,47.8953,-122.3754
cand_02y2VQWRjHYslRlODd7vxX,2024-10-22_16.30.56,2024-10-22,16.30.56,2024-10-22_23.30.56,2024-10-22,23.30.56,,"Lots of faint calls thru ship noise, including possibly many whistles in last 10min",1729580422.0,47.8953,-122.3754
cand_02y2VsyXfyWozi1g5b2Yf2,2024-10-22_16.49.24,2024-10-22,16.49.24,2024-10-22_23.49.24,2024-10-22,23.49.24,,Squeaks,1729580422.0,47.8953,-122.3754
cand_02y2VyVHewGf5xvTd1PsM1,2024-10-22_16.52.57,2024-10-22,16.52.57,2024-10-22_23.52.57,2024-10-22,23.52.57,,"Two calls thru last of noise from NB tanker Marissa (still audible as it clears Pt No Pt)., Sqeak",1729580422.0,47.8953,-122.3754
cand_02y2WA4rC2Yv7AZ3YDKsbq,2024-10-22_17.00.38,2024-10-22,17.00.38,2024-10-23_00.00.38,2024-10-23,00.00.38,,Clicking?,1729580422.0,47.8953,-122.3754
cand_02y2UImx57yGJKGNgxwUpq,2024-10-22_15.43.23,2024-10-22,15.43.23,2024-10-22_22.43.23,2024-10-22,22.43.23,,"More calls now. Sounds like multiple orca., Faint calls., Possible echolocation. Lots of clicking.",1729580422.0,47.88148,-122.39799
cand_02y2V71GnZUQOzybrObWmF,2024-10-22_16.17.57,2024-10-22,16.17.57,2024-10-22_23.17.57,2024-10-22,23.17.57,,Calls,1729580422.0,47.88148,-122.39799
cand_02y2VBrEdt5a3PC7OgXo5h,2024-10-22_16.21.12,2024-10-22,16.21.12,2024-10-22_23.21.12,2024-10-22,23.21.12,,Faint calls,1729580422.0,47.88148,-122.39799
cand_02y2VKx9jd2sJtBtRXv6iC,2024-10-22_16.27.03,2024-10-22,16.27.03,2024-10-22_23.27.03,2024-10-22,23.27.03,,Calls thru tanker noise.,1729580422.0,47.88148,-122.39799
cand_02y2VQWRjHYslRlODd7vxX,2024-10-22_16.30.56,2024-10-22,16.30.56,2024-10-22_23.30.56,2024-10-22,23.30.56,,"Lots of faint calls thru ship noise, including possibly many whistles in last 10min",1729580422.0,47.88148,-122.39799
cand_02y2VsyXfyWozi1g5b2Yf2,2024-10-22_16.49.24,2024-10-22,16.49.24,2024-10-22_23.49.24,2024-10-22,23.49.24,,Squeaks,1729580422.0,47.88148,-122.39799
cand_02y2VyVHewGf5xvTd1PsM1,2024-10-22_16.52.57,2024-10-22,16.52.57,2024-10-22_23.52.57,2024-10-22,23.52.57,,"Two calls thru last of noise from NB tanker Marissa (still audible as it clears Pt No Pt)., Sqeak",1729580422.0,47.88148,-122.39799
cand_02y2WA4rC2Yv7AZ3YDKsbq,2024-10-22_17.00.38,2024-10-22,17.00.38,2024-10-23_00.00.38,2024-10-23,00.00.38,,Clicking?,1729580422.0,47.88148,-122.39799
cand_02y2WL4jXBtDNaJ6fBfVfa,2024-10-22_17.08.03,2024-10-22,17.08.03,2024-10-23_00.08.03,2024-10-23,00.08.03,,"Faint calls, Faint calls",1729580422.0,47.88148,-122.39799
cand_02y2UImx57yGJKGNgxwUpq,2024-10-22_15.43.23,2024-10-22,15.43.23,2024-10-22_22.43.23,2024-10-22,22.43.23,,"More calls now. Sounds like multiple orca., Faint calls., Possible echolocation. Lots of clicking.",1729580422.0,47.87586,-122.41243
cand_02y2V71GnZUQOzybrObWmF,2024-10-22_16.17.57,2024-10-22,16.17.57,2024-10-22_23.17.57,2024-10-22,23.17.57,,Calls,1729580422.0,47.87586,-122.41243
cand_02y2VBrEdt5a3PC7OgXo5h,2024-10-22_16.21.12,2024-10-22,16.21.12,2024-10-22_23.21.12,2024-10-22,23.21.12,,Faint calls,1729580422.0,47.87586,-122.41243
cand_02y2VKx9jd2sJtBtRXv6iC,2024-10-22_16.27.03,2024-10-22,16.27.03,2024-10-22_23.27.03,2024-10-22,23.27.03,,Calls thru tanker noise.,1729580422.0,47.87586,-122.41243
cand_02y2VQWRjHYslRlODd7vxX,2024-10-22_16.30.56,2024-10-22,16.30.56,2024-10-22_23.30.56,2024-10-22,23.30.56,,"Lots of faint calls thru ship noise, including possibly many whistles in last 10min",1729580422.0,47.87586,-122.41243
cand_02y2VsyXfyWozi1g5b2Yf2,2024-10-22_16.49.24,2024-10-22,16.49.24,2024-10-22_23.49.24,2024-10-22,23.49.24,,Squeaks,1729580422.0,47.87586,-122.41243
cand_02y2VyVHewGf5xvTd1PsM1,2024-10-22_16.52.57,2024-10-22,16.52.57,2024-10-22_23.52.57,2024-10-22,23.52.57,,"Two calls thru last of noise from NB tanker Marissa (still audible as it clears Pt No Pt)., Sqeak",1729580422.0,47.87586,-122.41243
cand_02y2WA4rC2Yv7AZ3YDKsbq,2024-10-22_17.00.38,2024-10-22,17.00.38,2024-10-23_00.00.38,2024-10-23,00.00.38,,Clicking?,1729580422.0,47.87586,-122.41243
cand_02y2WL4jXBtDNaJ6fBfVfa,2024-10-22_17.08.03,2024-10-22,17.08.03,2024-10-23_00.08.03,2024-10-23,00.08.03,,"Faint calls, Faint calls",1729580422.0,47.87586,-122.41243
cand_02y2VBrEdt5a3PC7OgXo5h,2024-10-22_16.21.12,2024-10-22,16.21.12,2024-10-22_23.21.12,2024-10-22,23.21.12,,Faint calls,1729580422.0,47.85922,-122.44852
cand_02y2VKx9jd2sJtBtRXv6iC,2024-10-22_16.27.03,2024-10-22,16.27.03,2024-10-22_23.27.03,2024-10-22,23.27.03,,Calls thru tanker noise.,1729580422.0,47.85922,-122.44852
cand_02y2VQWRjHYslRlODd7vxX,2024-10-22_16.30.56,2024-10-22,16.30.56,2024-10-22_23.30.56,2024-10-22,23.30.56,,"Lots of faint calls thru ship noise, including possibly many whistles in last 10min",1729580422.0,47.85922,-122.44852
cand_02y2VsyXfyWozi1g5b2Yf2,2024-10-22_16.49.24,2024-10-22,16.49.24,2024-10-22_23.49.24,2024-10-22,23.49.24,,Squeaks,1729580422.0,47.85922,-122.44852
cand_02y2VyVHewGf5xvTd1PsM1,2024-10-22_16.52.57,2024-10-22,16.52.57,2024-10-22_23.52.57,2024-10-22,23.52.57,,"Two calls thru last of noise from NB tanker Marissa (still audible as it clears Pt No Pt)., Sqeak",1729580422.0,47.85922,-122.44852
cand_02y2WA4rC2Yv7AZ3YDKsbq,2024-10-22_17.00.38,2024-10-22,17.00.38,2024-10-23_00.00.38,2024-10-23,00.00.38,,Clicking?,1729580422.0,47.85922,-122.44852
cand_02y2WL4jXBtDNaJ6fBfVfa,2024-10-22_17.08.03,2024-10-22,17.08.03,2024-10-23_00.08.03,2024-10-23,00.08.03,,"Faint calls, Faint calls",1729580422.0,47.85922,-122.44852
cand_02y2uub6DMoDVK20B1UyA2,2024-10-23_09.49.08,2024-10-23,09.49.08,2024-10-23_16.49.08,2024-10-23,16.49.08,,Faint calls,1729666823.0,47.86143,-122.42418
cand_02y2v5HWvRy9Lou0V7U6Av,2024-10-23_09.56.20,2024-10-23,09.56.20,2024-10-23_16.56.20,2024-10-23,16.56.20,,"J-Pod calling..., S01 calls, faint, S01 calls as train and ferry noise die down.",1729666823.0,47.86143,-122.42418
cand_02y2vkQ8o9smA5ZuPDm4k6,2024-10-23_10.23.16,2024-10-23,10.23.16,2024-10-23_17.23.16,2024-10-23,17.23.16,,"Faint calls behind the engine sounds, Whale noises, faint calls",1729666823.0,47.86143,-122.42418
cand_02y2vxn44krJZKM9mM4gqQ,2024-10-23_10.32.17,2024-10-23,10.32.17,2024-10-23_17.32.17,2024-10-23,17.32.17,,faint calls,1729666823.0,47.86143,-122.42418
cand_02y2w4afSvkiLvtmqQFy2F,2024-10-23_10.36.45,2024-10-23,10.36.45,2024-10-23_17.36.45,2024-10-23,17.36.45,,Jpod calls,1729666823.0,47.86143,-122.42418
cand_02y2wQxYxIx3hI6O4dmLKb,2024-10-23_10.50.54,2024-10-23,10.50.54,2024-10-23_17.50.54,2024-10-23,17.50.54,,,1729666823.0,47.86143,-122.42418
cand_02y2wbLiqj8IeZOPK36LX7,2024-10-23_10.58.08,2024-10-23,10.58.08,2024-10-23_17.58.08,2024-10-23,17.58.08,,Calls,1729666823.0,47.86143,-122.42418
cand_02y2xEmIyJXzqHVg0Gdh8j,2024-10-23_11.24.07,2024-10-23,11.24.07,2024-10-23_18.24.07,2024-10-23,18.24.07,,"S01 call x3, S01 call, faint, through noise from fishing vessel., S01 call as ferry noise decreases.",1729666823.0,47.86143,-122.42418
cand_02y2xSrFm8MYfZZpUhZBod,2024-10-23_11.33.16,2024-10-23,11.33.16,2024-10-23_18.33.16,2024-10-23,18.33.16,,"Orca! Distant mewing vocalizations. Single orca., Calls, Faint calls through flutter vessel noise.",1729666823.0,47.86143,-122.42418
cand_02y2xc0PmFMag4CgLXnDJ9,2024-10-23_11.39.10,2024-10-23,11.39.10,2024-10-23_18.39.10,2024-10-23,18.39.10,,"More powerboat noise rpm changes, steady receive level overall... so maybe it is distant?, More faint S01s x3, Repeated faint S01 calls x5?",1729666823.0,47.86143,-122.42418
