type,latitude,longitude,utm_easting,utm_northing,altitude_ft
T,47.93897646,-122.4376767,541996.2,5309670.8,104
T,47.93916166,-122.4376123,542000.8,5309691.4,99.6
T,47.93946697,-122.4375769,542003.2,5309725.3,91.6
T,47.94005579,-122.4375288,542006.3,5309790.8,62.9
T,47.94032517,-122.4375174,542007,5309820.7,45.4
T,47.9404991,-122.437568,542003.1,5309840,34.3
T,47.94063735,-122.4377316,541990.7,5309855.3,26.3
T,47.94071149,-122.4379152,541976.9,5309863.5,22.5
T,47.94075517,-122.4380892,541963.9,5309868.2,22.7
T,47.94079266,-122.4384019,541940.5,5309872.2,23.7
T,47.94082628,-122.43887,541905.6,5309875.7,24.2
T,47.94087909,-122.4395211,541856.9,5309881.2,23
T,47.94090752,-122.4399497,541824.9,5309884.1,22.4
T,47.94093999,-122.4403721,541793.3,5309887.5,21.6
T,47.94101699,-122.44073,541766.5,5309895.9,18.5
T,47.94110688,-122.441082,541740.1,5309905.7,13.7
T,47.94109168,-122.4411431,541735.6,5309904,13.4
T,47.94105494,-122.4411989,541731.4,5309899.9,13.4
T,47.94097578,-122.4412552,541727.3,5309891,14
T,47.94099577,-122.4413788,541718.1,5309893.2,12.3
T,47.93857819,-122.4432785,541578.1,5309623.5,12.5
S,47.93858822,-122.4433035,541576.3,5309624.6,12.3
S,47.93924733,-122.44526,541429.6,5309696.8,0
S,47.93908637,-122.44775,541243.8,5309677.5,0
S,47.93811232,-122.449543,541110.6,5309568.3,0
S,47.93311287,-122.4562403,540614.4,5309009.1,0
S,47.91346219,-122.4557418,540667,5306825.3,0
S,47.886871,-122.4475601,541299.5,5303874.2,0
S,47.80177238,-122.4345062,542344.6,5294423.2,0
S,47.75830596,-122.4271267,542932.9,5289596.4,0
S,47.71445184,-122.4441157,541694.7,5284713.2,0
S,47.69422582,-122.4528964,541052,5282460.6,0
S,47.67163254,-122.459354,540585,5279946.2,-1
S,47.65203239,-122.455579,540883.6,5277769.8,-1.3
S,47.6286402,-122.4323155,542649.7,5275182.6,-1.3
S,47.6146611,-122.4023636,544911.9,5273645.9,-1.3
S,47.61137604,-122.3650147,547721.6,5273303.1,-1.3
S,47.61112571,-122.3556795,548423.4,5273281,-1.3
S,47.61123355,-122.3497389,548869.8,5273296.7,16
