Lat,Long
47.97803467,-122.3575165
47.97825409,-122.3575114
47.97836696,-122.3570984
47.97884941,-122.3562423
47.97829234,-122.3555821
47.9783863,-122.3554822
47.97857288,-122.3554941
47.9808444,-122.3554441
47.98100682,-122.3556897
47.98104284,-122.3563005
47.98098073,-122.3566829
47.98128033,-122.3567689
47.98169257,-122.3566771
47.9819397,-122.3564001
47.98267308,-122.3554467
47.98269991,-122.3550407
47.98253577,-122.3547339
47.98203731,-122.3540674
47.98206021,-122.3538078
47.98234339,-122.3536731
47.98339892,-122.3535457
47.98355065,-122.3531251
47.97325403,-122.3028758
47.97132862,-122.2803134
47.97086273,-122.2304616
47.9714492,-122.2288254
47.97301604,-122.226072
47.97974343,-122.217936
